SMILES,pLC50,LC50_(mg/L),,
N#CCC#N,0.251811973,0.56,,
C1COCCO1,-4.012837225,10300.00001,,
CN(C)N,-0.894869657,7.850000005,,
C1=CC=CC(O)=C1C(=O)OC2=CC=CC=C2,-0.071882007,1.179999999,,
ClCCCCl,-2.045322979,111.0000001,,
CCC(O)(C)CC,-2.827369273,671.9999999,,
NC1=CC=C(F)C=C1,-1.227886705,16.90000002,,
CCC(O)=O,-3.680335513,4789.999995,,
C1(Cl)=CC=CC(Cl)=C1C(=O)N,-2.671172843,469.0000003,,
O=[N+](C1=CC=CC=C1)[O-],-2.075546961,118.9999999,,
CC(=O)C(C)(C)C,-1.939519253,87.00000008,,
ClC(Cl)C1=C(Cl)C=CC=C1Cl,0.013228266,0.969999999,,
C1=CC(C=O)=CC(OC)=C1OCCCCCC,-0.426511261,2.669999998,,
C(Cl)(Cl)(Cl)CO,-2.475671188,298.9999998,,
CCC1=CC=CC=C1,-1.021189299,10.5,,
CC2(C)OC1(C)CCC2CC1,-2.008600172,102.0000001,,
C1=CC=CC(O)=C1C(=O)OCC,-1.305351369,20.19999998,,
CC1=C(C=CC(=C1)C)C,-0.8876173,7.719999994,,
C1(C=O)=C(O)C(OC)=CC=C1,-0.380211242,2.400000002,,
C1=CC=CC=C1,-1.245512668,17.60000001,,
O=C(OC1=C2C(=CC=C1)C=CC=C2)NC,-0.942008053,8.75,,
OC1=CC=C(Cl)C=C1,-0.78604121,6.109999997,,
ClC1=C(C=CC=C1)Cl,-0.976349979,9.47,,
C1(Cl)=CC=C(Cl)C=C1C(=O)OC,-1.146128036,14.00000001,,
C1(C=O)=CC=C(C(C)C)C=C1,-0.820857989,6.619999993,,
FC1=CC=C([N+](=O)[O-])C=C1,-1.45331834,28.4,,
CC(C)(O)C(F)(C(F)F)F,-2.764922985,582.0000005,,
O=C([C@](C(C=C4OC)=C(C=C4OC)OC3)([H])[C@]3([H])O2)C(C=C5)=C2C1=C5O[C@@H]([C@@](C)=C)C1,2.283996656,0.0052,,
CC(=O)CCC(C)C,-2.201397124,158.9999999,,
OC(C)CC#C,-1.545307116,35.09999996,,
C1=CC=CC=C1OC2=CC=C(O)C=C2,-0.694605199,4.950000001,,
C1(=CC=CC=C1)C(=O)O,-2.684845362,484.0000004,,
C1=CC=CC=C1C(=O)N,-2.820201459,660.9999993,,
NCC1=CC=CC=C1,-2.008600172,102.0000001,,
C1C(=O)N(CC)C(=S)N(CC)C1=O,-3.654176542,4510.000001,,
C1(=CC=C(C=C1)O)NC(C)=O,-2.910624405,814.0000002,,
BrCCCBr,-0.320146286,2.089999999,,
O1C(C)=CC=C1C,-1.851869601,71.10000004,,
CC(=O)CC(C)C,-2.717670503,522,,
C1=C(/C=C/C=O)C=CC(N(C)C)=C1,-0.770852012,5.900000005,,
ClC1=CC(Cl)=CC=C1,-0.904715545,8.029999995,,
C1=CC(Cl)=CC2N=C(S)SC1=2,-0.506505032,3.209999997,,
CCCCOC(=O)CCCCC(=O)OCCCC,-0.561101384,3.640000003,,
C1=CC(C(C)(C)C)=CC=C1OC2=CC=CC(C=O)=C2,0.431798276,0.37,,
CCNCC,-2.931966115,855.0000005,,
C1=CC=CC=C1OC2=CC=CC=C2,-0.602059991,3.999999997,,
C1=CC=CC=C1C(=O)CC(=O)C,-0.041392685,1.1,,
ClCCN1CCCC1,-2.184691431,153.0000001,,
C1=CC(Cl)=CC=C1C(=O)OC,-1.041392685,11,,
N1=CC=C(C2=CC=CC=C2)C=C1,-1.206825876,16.1,,
OC1=C(C)C=C([N+]([O-])=O)C=C1[N+]([O-])=O,-0.238046103,1.729999999,,
C1(C=O)=CC(OC)=C(O)C=C1,-1.923244019,83.80000007,,
O=C(NC)OC1=CC=CC(C2)=C1OC2(C)C,0.073657553,0.844000001,,
CCCCOP(=O)(OCCCC)OCCCC,-0.976808337,9.479999993,,
NC1=C([N+]([O-])=O)C=C(OCC)C=C1,-1.414973348,26,,
O=CC1=CC=CC=C1,-0.994317153,9.870000008,,
N1=C(C)C=CC=C1Cl,-2.365487985,232.0000001,,
CSC(C)=NOC(=O)NC,-0.324282455,2.109999999,,
CCC(=O)C,-3.507855872,3220.000002,,
OC1=C(C=C(C(=C1CC2=C(C(=CC(=C2Cl)Cl)Cl)O)Cl)C1)C1,1.698970004,0.02,,
OCCN1CCNCC1,-3.80685803,6410.000007,,
NCC(N)C,-3.004321374,1010.000001,,
ClC1=CC([N+](=O)[O-])=CC=C1,-1.274157849,18.79999999,,
OCCNCCO,-3.673020907,4709.999999,,
C=CCNC1=CC=CC=C1,-1.555094449,35.90000003,,
C1=C(C(=O)C)C(Cl)=CC(Cl)=C1,-1.068185862,11.70000001,,
CC(=O)CC(=O)C,-2.130333768,134.9999998,,
NC(=O)OCC,-3.719331287,5240,,
CC(C1=CC=CC=C1)(O)C#C,-2.053078443,112.9999999,,
OC1=C(C)C(C)=CC=C1C,-0.913813852,8.199999993,,
CNC1=CC=C(F)C=C1,-1.584331224,38.39999997,,
C1=C(C(=O)CBr)C(OC)=CC=C1OC,1.180456064,0.066,,
C1=C(C(=O)C)C(Cl)=C(Cl)C(Cl)=C1,-0.301029996,2.000000002,,
CCCCO,-3.238046103,1729.999999,,
CCCCN,-2.428134794,268,,
N1=C(O)C=CC=C1Cl,-2.330413773,213.9999998,,
COCCCNCC1=CC(OC)=C(OC)C(OC)=C1,-2.133538908,135.9999999,,
CCCCOC(=O)C1=CC=CC(C(=O)OCCCC)=C1,0.045757491,0.899999999,,
CC(C=O)CC,-0.998695158,9.969999993,,
CCCN(CCC)CCC,-1.706717782,50.89999996,,
C1=CC(C(C)(C)C)=CC=C1C(=O)N,-1.503790683,31.9,,
BrCCCC,-1.564666064,36.69999998,,
NC1=CC=C(C)C=C1,-2.204119983,160.0000001,,
C1=C(I)C(O)=C(I)C=C1C#N,-0.832508913,6.800000005,,
C1=C(Cl)C(O)=C(Cl)C=C1C#N,-1.385606274,24.30000002,,
CCC#N,-3.181843588,1520,,
OC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],-1.037426498,10.9,,
CC1=C(NC=O)C=CC=C1Cl,-1.668385917,46.60000003,,
O=C1CCCCC1,-2.7930916,620.9999997,,
OCCN(C(C)C)C(C)C,-2.303196057,200.9999998,,
CC1=NC=CN1,-2.456366033,285.9999999,,
CCCC(=O)C,-3.093421685,1240,,
C1(O)=CC(OC)=CC=C1C(=O)C,-1.841984805,69.50000007,,
CN1C(C(=O)C)=CC=C1,-2.195899652,156.9999999,,
CCCCCCCCOC1=CC=CC=C1NC(=O)C,0.346787486,0.45,,
CCCSSCCC,-0.418301291,2.619999998,,
CNC(=O)OC1=CC(C)=C(N(C)C)C=C1,-0.290034611,1.949999998,,
C1=CC=CC=C1C(=O)C2=CC=NC=C2,-2.012837225,103.0000001,,
CC(C=O)CCC,-1.274157849,18.79999999,,
OC1=C(O)C(Cl)=C(Cl)C(Cl)=C1Cl,-0.103803721,1.27,,
CCOC(=O)CCCCC(=O)OCC,-1.255272505,18,,
N1CC(C)OC(C)C1,-2.587710965,387,,
ClC(C(Cl)Cl)Cl,-1.307496038,20.3,,
ClC(CCl)Cl,-1.911690159,81.60000005,,
C1[C@H](C[C@H]([C@@H](C1)C(C)C)O)C,-1.276461804,18.89999999,,
CC1(C)OCC(CO)O1,-4.222716471,16699.99999,,
CC(O)CC,-3.564666064,3669.999998,,
CCCCCCC(C)N,-0.715167358,5.190000002,,
C1(N)=CC=C(Cl)C=C1C#N,-1.456366033,28.59999999,,
CC(O)C#C,-1.068185862,11.70000001,,
C1(O)=CC=CC=C1C(=O)N,-2.004321374,101.0000001,,
C1(C=O)=C(C)C=CC=C1,-1.723455672,52.9,,
C(=O)N(CCCC)CCCC,-1.950851459,89.30000002,,
OC1=C(C=C(C=C1C(C)(C)C)C)C(C)(C)C,0.440093375,0.363,,
CCCCCCCCCCCC#N,0.366531544,0.43,,
OC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl,0.219682688,0.603,,
O=C1C(C2=CC=CC=C2)(C(=O)NC(=O)N1)CC,-2.684845362,484.0000004,,
OC1=C(C)C=C(C)C=C1C,-1.113943352,12.99999999,,
CCOP(=O)(CC1=CC=CC=C1)OCC,-2.526339277,335.9999997,,
NC1=C(C(F)(F)F)C=C(F)C=C1,-1.471291711,29.6,,
OC1=CC(NC(=O)C)=CC=C1,-3.053078443,1129.999999,,
C1=CC=C(OC2=CC=CC=C2)C=C1COC(=O)C3C(C)(C)C3C=C(Cl)Cl,1.795880017,0.016,,
C1=COC2=C1C=CC=C2,-1.146128036,14.00000001,,
O=S(C1=CC=CC=C1C(N2)=O)2=O,-4.26245109,18300.00001,,
C1(C=O)=C([N+](=O)[O-])C=CC(O)=C1,-1.622214023,41.9,,
IC(I)I,-0.465382851,2.919999997,,
C1=COC=C1,-1.785329835,61,,
C[C@](CC(O)C)(C)O,-4.029383778,10700.00001,,
O=C(CC/C=C(C)/C)C,-1.932980822,85.70000002,,
CN(C)CCCCl,-2.123851641,133,,
O=CC1=CC=C([N+](=O)[O-])C=C1,-1.004321374,10.10000001,,
C=C(C)C(=O)OCCOCC,-1.442479769,27.7,,
CCCCCCCCCCC(=O)C,-0.071882007,1.179999999,,
C1(C=O)=C(OC)C=C(OC)C=C1,-1.303196057,20.09999998,,
[O-][N+](=O)C1=CC=C([N+]([O-])=O)C=C1,0.148741651,0.71,,
C1=CC=CC=C1NC2=CC=CC=C2,-0.57863921,3.79,,
C(CN(C1)C2)N(C1)C2,-3.238046103,1729.999999,,
C1=C(Br)C(O)=C(Br)C=C1C#N,-1.100370545,12.6,,
OC1=CC=C(C)C=C1,-1.217483944,16.49999999,,
C1CCCC(C#C)(O)C1,-2.408239965,255.9999998,,
OC1=C(C=C(C=C1C(C)(C)C)C(C)(C)C)C(C)(C)C,1.215382707,0.0609,,
C1=CN=CC=C1CCC2=CC=NC=C2,-2.178976947,150.9999999,,
OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,0.610833916,0.245,,
ClCCOC(=O)NC1CCCCC1,-1.544068044,34.99999997,,
C(O)C#CC(O),-1.72916479,53.60000004,,
CC(=O)CCCN(CC)CC,-2.526339277,335.9999997,,
CCCCCC=O,-1.243038049,17.50000001,,
CC(C)(C)O,-3.80685803,6410.000007,,
C1(C=O)=C(O)C=CC(Br)=C1,-0.113943352,1.299999999,,
